Voltaje(V),50 Hz 100mV,50 Hz 150 mv,100 Hz 100 mV,100 Hz 150 mV,100 Hz 200 mV
-1.00122E-01,2.39653E-04,3.90187E-04,3.20890E-04,4.91787E-04,3.31992E-04
-9.84268E-02,2.75336E-04,4.55234E-04,3.41142E-04,5.26312E-04,3.14680E-04
-9.63360E-02,2.84670E-04,4.69413E-04,3.48485E-04,5.38170E-04,3.19029E-04
-9.42743E-02,2.88407E-04,4.75122E-04,3.51684E-04,5.41281E-04,3.21452E-04
-9.22490E-02,2.90070E-04,4.77723E-04,3.52801E-04,5.43549E-04,3.22437E-04
-9.02041E-02,2.90989E-04,4.78708E-04,3.53733E-04,5.43344E-04,3.22666E-04
-8.82029E-02,2.91626E-04,4.79068E-04,3.53823E-04,5.44253E-04,3.22974E-04
-8.61763E-02,2.91874E-04,4.79382E-04,3.54183E-04,5.43506E-04,3.23342E-04
-8.41539E-02,2.91752E-04,4.79436E-04,3.53919E-04,5.44196E-04,3.23203E-04
-8.21436E-02,2.91581E-04,4.79075E-04,3.54022E-04,5.43260E-04,3.22789E-04
-8.01287E-02,2.91610E-04,4.78623E-04,3.53587E-04,5.43627E-04,3.22718E-04
-7.81301E-02,2.91627E-04,4.78343E-04,3.53613E-04,5.42322E-04,3.22869E-04
-7.61031E-02,2.91324E-04,4.78110E-04,3.53116E-04,5.42401E-04,3.22655E-04
-7.40932E-02,2.90952E-04,4.77697E-04,3.53110E-04,5.40876E-04,3.22203E-04
-7.20875E-02,2.90817E-04,4.77156E-04,3.52618E-04,5.40958E-04,3.22146E-04
-7.00751E-02,2.90789E-04,4.76732E-04,3.52663E-04,5.39724E-04,3.22333E-04
-6.80668E-02,2.90524E-04,4.76423E-04,3.52166E-04,5.40129E-04,3.22166E-04
-6.60624E-02,2.90175E-04,4.76068E-04,3.52219E-04,5.39143E-04,3.21828E-04
-6.40554E-02,2.89922E-04,4.75581E-04,3.51672E-04,5.39610E-04,3.21861E-04
-6.20567E-02,2.89892E-04,4.75133E-04,3.51670E-04,5.38405E-04,3.22073E-04
-6.00352E-02,2.89745E-04,4.74761E-04,3.51169E-04,5.38573E-04,3.21902E-04
-5.80203E-02,2.89362E-04,4.74449E-04,3.51221E-04,5.37111E-04,3.21536E-04
-5.60195E-02,2.89034E-04,4.74072E-04,3.50737E-04,5.37171E-04,3.21489E-04
-5.40167E-02,2.88961E-04,4.73679E-04,3.50832E-04,5.35889E-04,3.21698E-04
-5.20085E-02,2.88916E-04,4.73197E-04,3.50380E-04,5.36320E-04,3.21475E-04
-5.00049E-02,2.88573E-04,4.72899E-04,3.50458E-04,5.35444E-04,3.21071E-04
-4.79704E-02,2.88180E-04,4.72665E-04,3.49950E-04,5.36096E-04,3.21015E-04
-4.59751E-02,2.88081E-04,4.72308E-04,3.50056E-04,5.35163E-04,3.21214E-04
-4.39744E-02,2.88085E-04,4.71813E-04,3.49539E-04,5.35502E-04,3.21022E-04
-4.19678E-02,2.87865E-04,4.71459E-04,3.49685E-04,5.34149E-04,3.20663E-04
-3.99696E-02,2.87490E-04,4.71320E-04,3.49254E-04,5.34289E-04,3.20717E-04
-3.79555E-02,2.87282E-04,4.71092E-04,3.49461E-04,5.33049E-04,3.21009E-04
-3.59419E-02,2.87312E-04,4.70630E-04,3.49019E-04,5.33508E-04,3.20933E-04
-3.39420E-02,2.87238E-04,4.70252E-04,3.49216E-04,5.32721E-04,3.20701E-04
-3.19267E-02,2.86930E-04,4.70083E-04,3.48776E-04,5.33500E-04,3.20872E-04
-2.99289E-02,2.86659E-04,4.69928E-04,3.48938E-04,5.32691E-04,3.21232E-04
-2.79336E-02,2.86655E-04,4.69563E-04,3.48470E-04,5.33219E-04,3.21216E-04
-2.59187E-02,2.86697E-04,4.69140E-04,3.48681E-04,5.32064E-04,3.21006E-04
-2.39196E-02,2.86490E-04,4.68937E-04,3.48247E-04,5.32264E-04,3.21160E-04
-2.19122E-02,2.86198E-04,4.68845E-04,3.48561E-04,5.31035E-04,3.21491E-04
-1.98906E-02,2.86155E-04,4.68615E-04,3.48145E-04,5.31500E-04,3.21448E-04
-1.78970E-02,2.86239E-04,4.68204E-04,3.48436E-04,5.30680E-04,3.21113E-04
-1.59030E-02,2.86148E-04,4.67959E-04,3.47982E-04,5.31492E-04,3.21201E-04
-1.38952E-02,2.85863E-04,4.67901E-04,3.48227E-04,5.30852E-04,3.21455E-04
-1.18894E-02,2.85746E-04,4.67730E-04,3.47787E-04,5.31589E-04,3.21341E-04
-9.89205E-03,2.85838E-04,4.67405E-04,3.48044E-04,5.30572E-04,3.20996E-04
-7.90177E-03,2.85835E-04,4.67121E-04,3.47645E-04,5.30955E-04,3.21050E-04
-5.88853E-03,2.85578E-04,4.67012E-04,3.47997E-04,5.29792E-04,3.21378E-04
-3.88573E-03,2.85378E-04,4.66922E-04,3.47592E-04,5.30209E-04,3.21288E-04
-1.89961E-03,2.85483E-04,4.66716E-04,3.47929E-04,5.29360E-04,3.21026E-04
1.01104E-04,2.85599E-04,4.66410E-04,3.47485E-04,5.30187E-04,3.21197E-04
2.12394E-03,2.85404E-04,4.66251E-04,3.47817E-04,5.29624E-04,3.21530E-04
4.13258E-03,2.85144E-04,4.66181E-04,3.47345E-04,5.30505E-04,3.21546E-04
6.12913E-03,2.85195E-04,4.66017E-04,3.47655E-04,5.29751E-04,3.21369E-04
8.11691E-03,2.85358E-04,4.65717E-04,3.47219E-04,5.30306E-04,3.21533E-04
1.01243E-02,2.85227E-04,4.65550E-04,3.47613E-04,5.29236E-04,3.21856E-04
1.21430E-02,2.84933E-04,4.65500E-04,3.47255E-04,5.29727E-04,3.21829E-04
1.41253E-02,2.84877E-04,4.65308E-04,3.47671E-04,5.28845E-04,3.21529E-04
1.61377E-02,2.85060E-04,4.65079E-04,3.47255E-04,5.29638E-04,3.21609E-04
1.81493E-02,2.85070E-04,4.64923E-04,3.47624E-04,5.29113E-04,3.21862E-04
2.01521E-02,2.84801E-04,4.64819E-04,3.47191E-04,5.30122E-04,3.21692E-04
2.21486E-02,2.84664E-04,4.64645E-04,3.47527E-04,5.29578E-04,3.21331E-04
2.41468E-02,2.84822E-04,4.64463E-04,3.47124E-04,5.30368E-04,3.21355E-04
2.61463E-02,2.84962E-04,4.64333E-04,3.47594E-04,5.29556E-04,3.21581E-04
2.81595E-02,2.84761E-04,4.64186E-04,3.47228E-04,5.30196E-04,3.21430E-04
3.01536E-02,2.84573E-04,4.64018E-04,3.47735E-04,5.29390E-04,3.21146E-04
3.21635E-02,2.84711E-04,4.63876E-04,3.47373E-04,5.30245E-04,3.21223E-04
3.41700E-02,2.84903E-04,4.63765E-04,3.47825E-04,5.29703E-04,3.21544E-04
3.61574E-02,2.84831E-04,4.63582E-04,3.47409E-04,5.30761E-04,3.21535E-04
3.81615E-02,2.84605E-04,4.63458E-04,3.47889E-04,5.30439E-04,3.21322E-04
4.01588E-02,2.84627E-04,4.63318E-04,3.47519E-04,5.31540E-04,3.21521E-04
4.21708E-02,2.84895E-04,4.63277E-04,3.48079E-04,5.31063E-04,3.21922E-04
4.41569E-02,2.84967E-04,4.63225E-04,3.47766E-04,5.31985E-04,3.21898E-04
4.61543E-02,2.84743E-04,4.63040E-04,3.48433E-04,5.31340E-04,3.21669E-04
4.81525E-02,2.84687E-04,4.62926E-04,3.48111E-04,5.32269E-04,3.21778E-04
5.01453E-02,2.84943E-04,4.62975E-04,3.48750E-04,5.31867E-04,3.22082E-04
5.21602E-02,2.85092E-04,4.62968E-04,3.48407E-04,5.33083E-04,3.21969E-04
5.41751E-02,2.84953E-04,4.62809E-04,3.48997E-04,5.32870E-04,3.21613E-04
5.61875E-02,2.84889E-04,4.62711E-04,3.48659E-04,5.34239E-04,3.21672E-04
5.81691E-02,2.85074E-04,4.62844E-04,3.49318E-04,5.34061E-04,3.21908E-04
6.01631E-02,2.85303E-04,4.62859E-04,3.49057E-04,5.35286E-04,3.21733E-04
6.21634E-02,2.85250E-04,4.62762E-04,3.49754E-04,5.34914E-04,3.21369E-04
6.41662E-02,2.85161E-04,4.62705E-04,3.49449E-04,5.36037E-04,3.21466E-04
6.61861E-02,2.85312E-04,4.62777E-04,3.50120E-04,5.35686E-04,3.21771E-04
6.81605E-02,2.85528E-04,4.62845E-04,3.49737E-04,5.36948E-04,3.21741E-04
7.01755E-02,2.85642E-04,4.62796E-04,3.50298E-04,5.36800E-04,3.21563E-04
7.21666E-02,2.85637E-04,4.62742E-04,3.49825E-04,5.38227E-04,3.21806E-04
7.41660E-02,2.85750E-04,4.62766E-04,3.50420E-04,5.38139E-04,3.22248E-04
7.61730E-02,2.85926E-04,4.62871E-04,3.50003E-04,5.39506E-04,3.22309E-04
7.81687E-02,2.86078E-04,4.62883E-04,3.50621E-04,5.39210E-04,3.22174E-04
8.01765E-02,2.86219E-04,4.62758E-04,3.50181E-04,5.40347E-04,3.22412E-04
8.21793E-02,2.86344E-04,4.62733E-04,3.50778E-04,5.39925E-04,3.22855E-04
8.41725E-02,2.86448E-04,4.62855E-04,3.50263E-04,5.40993E-04,3.22845E-04
8.61753E-02,2.86638E-04,4.62864E-04,3.50733E-04,5.40595E-04,3.22623E-04
8.81702E-02,2.86931E-04,4.62724E-04,3.50169E-04,5.41795E-04,3.22785E-04
9.01693E-02,2.87119E-04,4.62626E-04,3.50696E-04,5.41472E-04,3.23142E-04
9.21854E-02,2.87140E-04,4.62700E-04,3.50188E-04,5.42640E-04,3.23053E-04
9.41590E-02,2.87314E-04,4.62697E-04,3.50749E-04,5.42173E-04,3.22800E-04
9.61573E-02,2.87757E-04,4.62538E-04,3.50295E-04,5.43170E-04,3.23001E-04
9.81596E-02,2.88057E-04,4.62377E-04,3.50923E-04,5.42531E-04,3.23422E-04
1.00160E-01,2.88031E-04,4.62342E-04,3.50390E-04,5.43390E-04,3.23412E-04
1.02165E-01,2.88192E-04,4.62353E-04,3.50943E-04,5.42711E-04,3.23315E-04
1.04152E-01,2.88690E-04,4.62189E-04,3.50365E-04,5.43591E-04,3.23648E-04
1.06172E-01,2.89106E-04,4.61957E-04,3.50889E-04,5.43012E-04,3.24189E-04
1.08167E-01,2.89151E-04,4.61866E-04,3.50338E-04,5.44066E-04,3.24339E-04
1.10156E-01,2.89224E-04,4.61870E-04,3.50937E-04,5.43507E-04,3.24324E-04
1.12142E-01,2.89758E-04,4.61748E-04,3.50421E-04,5.44516E-04,3.24669E-04
1.14162E-01,2.90326E-04,4.61481E-04,3.51046E-04,5.43851E-04,3.25156E-04
1.16156E-01,2.90495E-04,4.61343E-04,3.50492E-04,5.44736E-04,3.25171E-04
1.18173E-01,2.90485E-04,4.61386E-04,3.51058E-04,5.43979E-04,3.24912E-04
1.20160E-01,2.90973E-04,4.61367E-04,3.50465E-04,5.44838E-04,3.25039E-04
1.22158E-01,2.91703E-04,4.61142E-04,3.50992E-04,5.44219E-04,3.25255E-04
1.24159E-01,2.91985E-04,4.61012E-04,3.50327E-04,5.45272E-04,3.25013E-04
1.26148E-01,2.92003E-04,4.61129E-04,3.50874E-04,5.44775E-04,3.24502E-04
1.28163E-01,2.92453E-04,4.61185E-04,3.50267E-04,5.45953E-04,3.24386E-04
1.30152E-01,2.93214E-04,4.61077E-04,3.50837E-04,5.45547E-04,3.24434E-04
1.32156E-01,2.93706E-04,4.61054E-04,3.50224E-04,5.46679E-04,3.24081E-04
1.34161E-01,2.93807E-04,4.61190E-04,3.50747E-04,5.46134E-04,3.23533E-04
1.36149E-01,2.94106E-04,4.61396E-04,3.50048E-04,5.47128E-04,3.23397E-04
1.38151E-01,2.94881E-04,4.61468E-04,3.50511E-04,5.46450E-04,3.23524E-04
1.40146E-01,2.95550E-04,4.61491E-04,3.49757E-04,5.47434E-04,3.23272E-04
1.42153E-01,2.95812E-04,4.61669E-04,3.50197E-04,5.46780E-04,3.22815E-04
1.44153E-01,2.96075E-04,4.62037E-04,3.49429E-04,5.47762E-04,3.22769E-04
1.46156E-01,2.96771E-04,4.62282E-04,3.49920E-04,5.47103E-04,3.22924E-04
1.48152E-01,2.97592E-04,4.62352E-04,3.49225E-04,5.47942E-04,3.22678E-04
1.50141E-01,2.98013E-04,4.62593E-04,3.49677E-04,5.46944E-04,3.22212E-04
1.52147E-01,2.98285E-04,4.62982E-04,3.48923E-04,5.47436E-04,3.22079E-04
1.54151E-01,2.98899E-04,4.63310E-04,3.49366E-04,5.46082E-04,3.22160E-04
1.56150E-01,2.99761E-04,4.63482E-04,3.48594E-04,5.46327E-04,3.21796E-04
1.58150E-01,3.00375E-04,4.63654E-04,3.49001E-04,5.44978E-04,3.21189E-04
1.60149E-01,3.00711E-04,4.63989E-04,3.48198E-04,5.45327E-04,3.21012E-04
1.62149E-01,3.01245E-04,4.64323E-04,3.48624E-04,5.44051E-04,3.20990E-04
1.64134E-01,3.02095E-04,4.64539E-04,3.47870E-04,5.44402E-04,3.20583E-04
1.66138E-01,3.02888E-04,4.64719E-04,3.48368E-04,5.43006E-04,3.20055E-04
1.68140E-01,3.03351E-04,4.64971E-04,3.47639E-04,5.43070E-04,3.19910E-04
1.70140E-01,3.03819E-04,4.65307E-04,3.48117E-04,5.41368E-04,3.19981E-04
1.72144E-01,3.04602E-04,4.65598E-04,3.47343E-04,5.41262E-04,3.19771E-04
1.74140E-01,3.05422E-04,4.65826E-04,3.47799E-04,5.39524E-04,3.19372E-04
1.76140E-01,3.05999E-04,4.66116E-04,3.46964E-04,5.39514E-04,3.19402E-04
1.78147E-01,3.06431E-04,4.66434E-04,3.47449E-04,5.37991E-04,3.19681E-04
1.80129E-01,3.07101E-04,4.66796E-04,3.46688E-04,5.38214E-04,3.19558E-04
1.82153E-01,3.07924E-04,4.66952E-04,3.47183E-04,5.36761E-04,3.19248E-04
1.84159E-01,3.08608E-04,4.67129E-04,3.46490E-04,5.36897E-04,3.19322E-04
1.86159E-01,3.09067E-04,4.67297E-04,3.47059E-04,5.35308E-04,3.19591E-04
1.88157E-01,3.09580E-04,4.67482E-04,3.46355E-04,5.35270E-04,3.19446E-04
1.90147E-01,3.10287E-04,4.67576E-04,3.46879E-04,5.33579E-04,3.19038E-04
1.92164E-01,3.11018E-04,4.67605E-04,3.46129E-04,5.33645E-04,3.19053E-04
1.94164E-01,3.11512E-04,4.67554E-04,3.46629E-04,5.32196E-04,3.19217E-04
1.96166E-01,3.11888E-04,4.67606E-04,3.45892E-04,5.32545E-04,3.18990E-04
