Zreal,-Zimag,electrodo
352.709,455.5863,1a
491.7004,568.4987,1a
703.4596,689.0325,1a
623.1952,945.1981,1a
1076.852,938.485,1a
1554.864,566.8333,1a
1636.807,560.1078,1a
1743.145,387.1292,1a
1795.292,260.3603,1a
1822.017,176.6388,1a
1836.939,122.6492,1a
1819.645,267.0219,1a
1841.786,185.9834,1a
1856.138,136.6415,1a
1868.45,109.4184,1a
1881.746,98.3978,1a
1897.921,98.5574,1a
1916.323,107.3099,1a
1939.415,124.2458,1a
1966.507,150.5691,1a
1997.23,189.1696,1a
2037.148,244.9219,1a
2085.951,334.7069,1a
2143.695,448.9234,1a
2227.521,625.8669,1a
2348.064,869.0829,1a
2541.245,1203.311,1a
2858.302,1649.681,1a
3339.438,2188.637,1a
4049.627,2806.61,1a
5068.723,3416.007,1a
-31.73365,1357.067,2a
-43.29799,2153.855,2a
-25.13592,3414.305,2a
-433.0873,5288.866,2a
-546.114,8419.917,2a
-847.6943,13294.63,2a
-1689.279,20981.4,2a
-3935.171,33331.89,2a
-9789.68,53600.3,2a
-23559.62,87569.08,2a
-57361.8,149818.1,2a
-125482,280925.8,2a
-232963.3,555013.1,2a
-308121.4,1135926,2a
-39357.17,2139839,2a
972864,3231924,2a
2767488,3769108,2a
4355265,3498347,2a
5602233,2806603,2a
6273759,2050624,2a
6663705,1500919,2a
7260509,931710.7,2a
7187191,390756.3,2a
7203387,507028.6,2a
7292615,438110.6,2a
7372588,419705.5,2a
7911887,290373,2a
8012253,349932.4,2a
8133263,436080,2a
8291387,509410.9,2a
8479685,569993.3,2a
-1938.462,2874.337,5a
-3262.667,6001.889,5a
-4464.884,11695.81,5a
-4509.19,21352.67,5a
-3985.026,34826.61,5a
-2672.88,55467.21,5a
162.2419,87018.63,5a
5106.979,135040.5,5a
16089.14,210988.8,5a
30445.21,325486.8,5a
65662.21,498780.5,5a
149636.4,768483.4,5a
287566.2,1156492,5a
575367.5,1703313,5a
1148327,2390097,5a
2108052,3060915,5a
3551038,3393564,5a
4937238,3261385,5a
6180102,2735499,5a
6810133,2039623,5a
7285076,1514685,5a
8064342,755132.2,5a
7700842,332250.3,5a
7908213,506798.6,5a
7988778,445211.1,5a
8075897,425290.6,5a
8726226,244428.9,5a
8823707,350254.4,5a
8953823,422818.3,5a
9127057,503031.6,5a
9330635,587861.9,5a
206.5577,228.8012,6a
276.1698,296.0968,6a
394.5606,364.9521,6a
183.4509,607.4691,6a
490.7327,602.3308,6a
717.9917,489.7217,6a
847.3713,358.6588,6a
912.914,254.4482,6a
948.4925,183.2279,6a
970.113,139.7436,6a
988.533,116.7931,6a
1006.344,107.9986,6a
1027.53,109.6555,6a
1052.417,118.9767,6a
1083.93,134.5659,6a
1122.354,154.0803,6a
1168.661,176.101,6a
1220.692,198.9322,6a
1279.626,224.3208,6a
1343.366,253.2271,6a
1411.333,287.5801,6a
1485.82,334.0921,6a
1566.945,407.3862,6a
1648.004,504.4847,6a
1755.43,660.0374,6a
1902.409,869.7881,6a
2112.477,1144.032,6a
2407.337,1506.14,6a
2815.21,1977.055,6a
3426.506,2575.963,6a
4368.729,3220.226,6a
247.6044,-247.6044,8a
354.394,-354.394,8a
530.2265,-530.2265,8a
415.7966,-415.7966,8a
783.2383,-783.2383,8a
1058.807,-1058.807,8a
1220.079,-1220.079,8a
1291.786,-1291.786,8a
1345.897,-1345.897,8a
1383.801,-1383.801,8a
1404.559,-1404.559,8a
1421.366,-1421.366,8a
1441.061,-1441.061,8a
1467.786,-1467.786,8a
1510.318,-1510.318,8a
1541.2,-1541.2,8a
1585.891,-1585.891,8a
1624.529,-1624.529,8a
1666.018,-1666.018,8a
1696.227,-1696.227,8a
1736.592,-1736.592,8a
1789.745,-1789.745,8a
1840.776,-1840.776,8a
1910.222,-1910.222,8a
2005.398,-2005.398,8a
2151.093,-2151.093,8a
2402.69,-2402.69,8a
2764.145,-2764.145,8a
3284.154,-3284.154,8a
4042.379,-4042.379,8a
5184.608,-5184.608,8a
266.0418,360.1223,10a
387.536,466.4572,10a
578.1404,554.7627,10a
496.3748,787.4565,10a
860.7753,728.1467,10a
1098.171,563.6368,10a
1237.383,402.7804,10a
1303.21,278.7152,10a
1332.796,194.0158,10a
1348.124,141.6934,10a
1367.906,113.1278,10a
1375.536,100.977,10a
1389.713,102.5406,10a
1410.918,113.7786,10a
1445.197,132.4214,10a
1480.299,153.8125,10a
1532.916,173.6777,10a
1587.813,187.1691,10a
1641.369,196.5559,10a
1692.438,213.9788,10a
1738.36,238.7617,10a
1792.446,286.9995,10a
1843.802,374.3883,10a
1908.644,492.5948,10a
2005.961,680.2209,10a
2156.665,932.2064,10a
2386.694,1256.202,10a
2733.424,1658.896,10a
3192.498,2139.329,10a
3804.922,2745.98,10a
4697.311,3475.384,10a